date,open,high,low,close,volume
2019-01-01,621.9,630.2,621.9,627.3,12179223
2019-01-02,623,628.5,617.5,620.05,12386281
2019-01-03,621.4,622,603.65,607.95,13228602
2019-01-04,612,624.75,609.5,619.6,8381367
2019-01-07,626,640.7,624.2,637.45,11735286
2019-01-08,636,653.75,630.6,650.9,11879875
2019-01-09,652.35,672.05,652.35,670.1,18003387
2019-01-10,668.9,668.9,654.6,663.25,12751327
2019-01-11,665,668.5,658.2,666.5,8330315
2019-01-14,663,663,652.55,659.2,6856244
2019-01-15,661.3,664.25,655.05,660.6,5467484
2019-01-16,660.7,670.4,660.7,664,6598151
2019-01-17,669.9,680,665.6,676.65,10448209
2019-01-18,674.9,676.05,661.45,664.6,7037386
2019-01-21,661.55,664.5,656.5,660.3,6157956
2019-01-22,656.35,663.6,653.85,661.6,7951640
2019-01-23,659.5,667,658.6,661.6,7596006
2019-01-24,665,665.55,655,663.65,7013582
2019-01-25,665.2,676.85,665.2,669.75,6628922
2019-01-28,669,674.45,650.35,656.3,7792690
2019-01-29,658.5,671,649.55,660.75,8302420
2019-01-30,687.05,703.35,683.75,690.95,46912230
2019-01-31,697.25,726.85,689.05,722.7,35239544
2019-02-01,720.75,726.4,705.4,717.25,13792059
2019-02-04,711.3,724.5,708,720.5,8195956
2019-02-05,722,731.6,719.5,729.5,8665426
2019-02-06,731.3,734.5,715.6,725.75,8077340
2019-02-07,726.25,733.8,724,730.15,7203465
2019-02-08,727,732.8,716.25,719.4,7341956
2019-02-11,719.9,719.9,705.3,710.85,7234953
2019-02-12,701,713.4,700,705.6,15856819
2019-02-13,700,707.45,695.05,697.5,11399689
2019-02-14,706,706.4,692.6,695,10383603
2019-02-15,700,704,681.7,686.6,10866440
2019-02-18,686,697.7,680.7,693.3,7135564
2019-02-19,693.3,705.4,689.65,693.05,6816325
2019-02-20,697.6,703,695.3,700.35,5772687
2019-02-21,700.5,706.5,695.1,697.2,6674353
2019-02-22,697.45,704.45,691.2,702.05,9822278
2019-02-25,702.9,705.8,696.1,703.7,11428024
2019-02-26,694,715.6,693.05,710.15,9166951
2019-02-27,714.95,727.8,713.05,718.2,13284424
2019-02-28,723.45,723.45,706.4,709.55,26230891
2019-03-01,713.5,714.95,699.55,702.4,7713824
2019-03-04,702.4,702.4,702.4,702.4,0
2019-03-05,705.7,733.9,700.7,732.05,11298428
2019-03-06,733.9,733.9,712.55,720.6,10510670
2019-03-07,720.75,739.45,720.75,733.75,11263734
2019-03-08,732,737.25,728.4,733.4,7744794
2019-03-11,733.3,744.9,730.6,734.5,9421608
2019-03-12,738.7,749,738.55,742.55,8131901
2019-03-13,743.6,751,736.5,738,12333789
2019-03-14,740,749.7,737.4,740.6,7100875
2019-03-15,742.95,748.95,731.7,735.1,14560368
2019-03-18,741,753.85,740.25,747,8067253
2019-03-19,755,763,749.05,760.9,8818172
2019-03-20,760.75,767,754.35,755.75,9758274
2019-03-21,755.75,755.75,755.75,755.75,0
2019-03-22,764.7,765.9,735.55,757.05,10355078
2019-03-25,752.7,755,741.15,745.7,7130411
2019-03-26,747.4,760.95,741.65,757.1,7300104
2019-03-27,761.3,770,755.85,759.3,7456768
2019-03-28,761.1,787.65,757.15,780.7,16643818
2019-03-29,777,781.35,767.6,777.25,9661906
2019-04-01,780.95,783,760.6,765.6,6021202
2019-04-02,769.15,774.95,761,767.4,6592678
2019-04-03,770,772.75,758.7,761.5,5591613
2019-04-04,763,771.9,760,762.15,7009879
2019-04-05,763.95,768.75,756.1,762.2,5343947
2019-04-08,764.3,768,748.55,754.6,4918795
2019-04-09,755,766,751,763.4,5483424
2019-04-10,761.25,767.9,758,760.85,5933250
2019-04-11,760.5,761.35,747,752.3,5365803
2019-04-12,753.4,766.75,751.6,764.35,4671869
2019-04-15,764,770.2,760,762.85,3707106
2019-04-16,765.1,776,765.1,771.1,7088601
2019-04-17,771.1,771.1,771.1,771.1,0
2019-04-18,778.4,779,769,771.2,6098041
2019-04-19,771.2,771.2,771.2,771.2,0
2019-04-22,768.9,768.9,750.55,755.5,4185156
2019-04-23,757.45,759.3,749,753.25,5098170
2019-04-24,754.7,755.7,738.35,752.85,7825049
2019-04-25,754,758.55,738.55,740.9,10282068
2019-04-26,762,765.15,747.25,759.9,23294204
2019-04-29,759.9,759.9,759.9,759.9,0
2019-04-30,759.95,769.7,755.8,766.85,12434805
2019-05-01,766.85,766.85,766.85,766.85,0
2019-05-02,765.4,767.8,748.05,752.35,7033021
2019-05-03,754.15,763.8,753.45,757.3,5970814
2019-05-06,746,753.4,744.1,747.45,5909936
2019-05-07,751.85,755.5,740,741.85,5071941
2019-05-08,741.9,744.75,733.35,735.5,6739894
2019-05-09,733.9,740.5,729.4,731,4193451
2019-05-10,734.4,738.5,729.5,735.05,3913815
2019-05-13,734,742.85,730,732.1,5891071
2019-05-14,729.4,738.5,722.5,731.35,7049134
2019-05-15,735.8,737.7,716.1,721.95,4849130
2019-05-16,720.95,735,718.7,731.85,5142617
2019-05-17,731.8,752.15,727.2,748.95,9072242
2019-05-20,760.2,790.65,760.2,782.4,15866697
2019-05-21,789.7,791.8,771.05,772.95,9251548
2019-05-22,774.8,784,770.2,779.15,5928186
2019-05-23,788,804.3,770.6,776.4,14776218
2019-05-24,779.45,795.9,778.5,793.2,9323114
2019-05-27,794,816.4,787.2,813.9,9128216
2019-05-28,816.3,822.1,801,808.4,13473187
2019-05-29,806.75,813,802.1,804.7,5958128
2019-05-30,803.25,814.2,803.25,807.55,6414384
2019-05-31,811,818.7,793.2,808.3,11140585
2019-06-03,813.55,814.65,803.1,812.65,6427567
2019-06-04,807.55,827.75,805.5,822.8,9515354
2019-06-05,822.8,822.8,822.8,822.8,0
2019-06-06,824,825.95,805.8,807.7,14728937
2019-06-07,811.1,813.25,801.3,804,6884094
2019-06-10,807.4,816.75,807.4,814.15,5923875
2019-06-11,817.15,821.45,807,814.8,5471529
2019-06-12,814.05,815.75,809.1,813.55,4707478
2019-06-13,811.25,823.4,810.75,820.15,9056584
2019-06-14,820.1,823.1,797.45,801.2,8919370
2019-06-17,800.1,801,775.1,777.7,10151212
2019-06-18,781.95,784.85,770.1,775.75,8347632
2019-06-19,780.8,789,763.35,770.7,6411258
2019-06-20,772,775.45,758.85,771.4,9190732
2019-06-21,774.75,778.25,762.8,771.05,12610688
2019-06-24,771,775.25,761,762.85,4866859
2019-06-25,761.25,783,756.55,781.65,10044436
2019-06-26,782.9,792,781.7,788.6,8715757
2019-06-27,788.95,806.85,781.6,800.45,18439210
2019-06-28,801.15,812.9,793.3,808.55,9174348
2019-07-01,810.75,819,807.45,810.45,5896530
2019-07-02,811.1,812.55,800.75,802.6,7549027
2019-07-03,802.65,811.5,801.5,806.2,5535230
2019-07-04,810,813.2,804.3,808.85,5553273
2019-07-05,808,812.95,801.3,806.1,5871202
2019-07-08,802,803.65,778.65,782.9,7485169
2019-07-09,778.5,788.8,776.4,786.2,6448920
2019-07-10,786.65,790,764.55,769.25,5814417
2019-07-11,773.5,773.5,763,766.4,7111401
2019-07-12,766.1,768.6,751,755.8,8552548
2019-07-15,757.25,759.65,744,749.75,6350785
2019-07-16,750,763.2,747.55,761.05,6170479
2019-07-17,763.1,765.55,750.05,752.6,5757193
2019-07-18,754,755,734.6,740.4,11283488
2019-07-19,743.55,746.8,723.3,729.25,8091007
2019-07-22,730,738.5,720,727.45,7020071
2019-07-23,732.9,739.3,726.1,728,7048354
2019-07-24,728,732.8,709.35,712.3,6618279
2019-07-25,711.2,726.25,706.35,723.15,9972204
2019-07-26,723.55,732,719.2,729.85,5450010
2019-07-29,736.2,740,710,720.25,10314136
2019-07-30,725.95,728,701,707.6,14100900
2019-07-31,694,694.9,657.8,674.1,55836793
2019-08-01,673.95,680.75,662.65,669.3,17001210
2019-08-02,667.4,681.65,661.6,673.85,14426295
2019-08-05,665.5,669.35,650.2,662.45,13042504
2019-08-06,658.7,682.85,654,679,12419831
2019-08-07,679,679.5,654.25,659.95,10486156
2019-08-08,660.6,664.3,643.2,660.1,17563795
2019-08-09,664.2,675.95,660,660.8,9289628
2019-08-12,660.8,660.8,660.8,660.8,0
2019-08-13,662.2,668.7,645,649.45,7389394
2019-08-14,652.8,669.45,652,663.2,7148518
2019-08-15,663.2,663.2,663.2,663.2,0
2019-08-16,664,678,656.85,675.65,7040117
2019-08-19,678.8,689,676.35,685,9082914
2019-08-20,685.15,685.2,669.5,672.35,7602499
2019-08-21,674,674.15,659.65,664.7,7892687
2019-08-22,665,669.85,657.75,661.15,9262172
2019-08-23,659.75,671.55,645.25,663.9,7775604
2019-08-26,677.25,686.65,660.55,683.7,8864341
2019-08-27,697,697.55,680.5,682.95,12015623
2019-08-28,685.1,689.35,673.5,678.2,5677087
2019-08-29,674,676.75,658.9,661.15,8753540
2019-08-30,664.9,668.6,640.1,663.9,17115901
2019-09-02,663.9,663.9,663.9,663.9,0
2019-09-03,658.8,658.8,641.45,645.7,8461431
2019-09-04,644.2,653,638.6,647.3,10786466
2019-09-05,652,659.75,644.05,649.6,8108303
2019-09-06,653.1,672.75,653.1,671.1,11101456
2019-09-09,667.65,675.8,662.75,671.55,5607331
2019-09-10,671.55,671.55,671.55,671.55,0
2019-09-11,674.55,683.5,671,681.7,5966906
2019-09-12,680.1,681.65,660.55,662.9,8087081
2019-09-13,663.55,675.4,657.05,674.25,12105997
2019-09-16,666.6,674.4,664.95,670.9,7659588
2019-09-17,667,668.3,638.05,640.45,17297040
2019-09-18,645.5,654.5,641.55,648.4,9702162
2019-09-19,648.2,650,632.6,638.2,9554331
2019-09-20,641.05,689.45,622.65,680.35,38862975
2019-09-23,703.9,732,695.85,725.5,31417887
2019-09-24,728.25,733.25,702.25,704.4,15683656
