date,open,high,low,close,volume
2019-01-01,297.5,300.7,293.85,299.6,11837127
2019-01-02,299.1,302.5,293.1,293.9,25559853
2019-01-03,295,295.55,290.1,291.1,17548347
2019-01-04,292.1,299,291.5,297.65,19514041
2019-01-07,301.05,301.5,295.2,296.3,14579399
2019-01-08,295.8,306,294.75,305.3,22949961
2019-01-09,306,307.1,300.75,305.3,21109911
2019-01-10,305.1,307.5,303.5,305.55,16295468
2019-01-11,305.4,306.2,300.95,302.75,12702551
2019-01-14,301,303.6,299.55,300.4,10372933
2019-01-15,302,303.6,301.1,301.65,9444374
2019-01-16,303,306.65,302.1,303.15,12111480
2019-01-17,303.9,304.35,295.6,297.4,15974634
2019-01-18,298.75,299.85,294.25,294.95,9082501
2019-01-21,295.9,296.75,291.45,292.45,10188647
2019-01-22,293,293,288.2,290.25,11297989
2019-01-23,290.45,292.95,285.5,286.65,10304608
2019-01-24,286.65,289.9,285.5,288.05,11532528
2019-01-25,289.6,291,283.2,285.4,11121223
2019-01-28,285.65,286.6,277.3,281.6,18905470
2019-01-29,281,286,276.55,280.6,17435611
2019-01-30,281.2,289.4,280.25,287.45,18908654
2019-01-31,290,294.8,288,293.65,25546487
2019-02-01,296.9,302.7,282,284.4,60015958
2019-02-04,282.4,285.2,277.85,283.95,20642919
2019-02-05,284.2,287,283,284.65,13291133
2019-02-06,285.85,289.75,283.5,289.05,12149759
2019-02-07,289.4,294,286.6,287.4,19733315
2019-02-08,285.6,288,282.2,286,19781908
2019-02-11,285.95,285.95,280,280.5,15420017
2019-02-12,280.65,282.2,274.65,275.4,15326106
2019-02-13,276.5,276.7,266.7,268.2,18662893
2019-02-14,268,268.35,263.65,267.1,26372671
2019-02-15,268.85,268.85,261.3,262.95,23366091
2019-02-18,264.4,265.5,258.8,259.95,14781744
2019-02-19,260.9,267.5,260.3,262.9,19064306
2019-02-20,264.5,268.3,264.3,267.7,15514595
2019-02-21,270.3,271,267.3,268,13760702
2019-02-22,267.9,271.9,267.6,270.95,12536918
2019-02-25,271.3,271.4,267.9,270.15,20793897
2019-02-26,266.8,268.2,263.25,266.35,15274303
2019-02-27,268,272.7,266.55,267.65,20571652
2019-02-28,267.7,270.8,267.65,269.05,31636468
2019-03-01,270.55,274.6,270.1,272.95,20024726
2019-03-04,272.95,272.95,272.95,272.95,0
2019-03-05,271.7,277.85,271.2,276.45,21533972
2019-03-06,277.3,282.55,276.45,278.1,22161376
2019-03-07,279.45,282.5,277.65,281.75,14899105
2019-03-08,281.85,284.25,279.6,281.2,19943319
2019-03-11,285.3,289,283.5,287.35,22931245
2019-03-12,289.2,289.9,285.75,286.9,20828136
2019-03-13,288.1,294.4,284.7,293.15,23725641
2019-03-14,294.5,294.7,290.75,291.9,16164017
2019-03-15,292.6,301.3,292.5,298.4,37928480
2019-03-18,298.9,300.9,294.65,298.95,23782967
2019-03-19,300.15,306.6,299.15,303.05,27218691
2019-03-20,302.8,304.65,300.05,303.8,18820555
2019-03-21,303.8,303.8,303.8,303.8,0
2019-03-22,304.3,306.4,296.95,298.05,17865957
2019-03-25,294,295.45,292.2,294,16895511
2019-03-26,294.75,305,294.75,303.5,18303791
2019-03-27,305.25,310.85,304.35,308.8,35956450
2019-03-28,310.1,339.65,309.05,319,63244736
2019-03-29,321.1,323,316.25,320.75,30394717
2019-04-01,321.8,327.65,321.05,322.75,22372357
2019-04-02,323.65,331,322.1,329,27897583
2019-04-03,331,332.45,319.5,320.5,30552104
2019-04-04,321.5,325.75,318.3,321.8,27832294
2019-04-05,323.7,323.7,315,317.05,23117232
2019-04-08,318.25,319.25,311.1,312.8,17394139
2019-04-09,313.95,315.7,308.1,314.75,25556039
2019-04-10,314.85,317.05,310,310.9,19237974
2019-04-11,311,315.4,308.7,314.9,14897935
2019-04-12,314.6,316.4,311.2,315.25,14751964
2019-04-15,315.5,318.7,313.75,315.6,13864791
2019-04-16,316.6,319.4,314.7,315.75,14940726
2019-04-17,315.75,315.75,315.75,315.75,0
2019-04-18,315.8,315.8,308.05,310.8,15691168
2019-04-19,310.8,310.8,310.8,310.8,0
2019-04-22,308.8,312.3,306.35,310.05,15665440
2019-04-23,310.05,313.75,304.6,305.25,17324274
2019-04-24,305.85,311.95,303.6,310.75,15228591
2019-04-25,311,312,305.4,306.2,30842477
2019-04-26,306.9,313.5,306.6,312.5,14987906
2019-04-29,312.5,312.5,312.5,312.5,0
2019-04-30,312,312,305,309.95,18178758
2019-05-01,309.95,309.95,309.95,309.95,0
2019-05-02,308.05,311.4,305.65,308.15,16640100
2019-05-03,309,311.8,308.8,310,12452689
2019-05-06,306.8,310.3,305.9,308.75,10639216
2019-05-07,310.7,313.4,303.75,305.45,15219845
2019-05-08,303.95,305.3,296.75,298.25,22103678
2019-05-09,297.6,301,296.1,299.3,12654440
2019-05-10,301.8,310.75,292.45,308.05,60739833
2019-05-13,310,314.2,305.3,306.9,40101505
2019-05-14,307.85,316.75,305.1,314.65,30521436
2019-05-15,316.2,317.9,311,312.1,27932459
2019-05-16,312.5,317.1,309.55,315.75,18147559
2019-05-17,315.65,321.95,313.45,319.25,25838962
2019-05-20,332,345.8,331,344.7,53207071
2019-05-21,345.9,347.55,336.25,337.55,33457162
2019-05-22,338.9,342.6,333.55,341.1,32002499
2019-05-23,353,364,339.2,342.2,74413322
2019-05-24,344.95,357,343.5,355.35,35703403
2019-05-27,355.05,362.5,354,361.7,31374994
2019-05-28,360.95,361.7,356.65,360.05,23501608
2019-05-29,358,359,347.15,348.65,28370210
2019-05-30,349.75,355,347.5,353.55,25712604
2019-05-31,354.35,357.9,344.65,352.5,32588069
2019-06-03,352.35,356.45,349.65,355.45,18380919
2019-06-04,354,357.2,351.4,352.4,18130636
2019-06-05,352.4,352.4,352.4,352.4,0
2019-06-06,349,349.6,335.9,336.9,41941144
2019-06-07,337,342.75,336,342.05,29739710
2019-06-10,346,347.3,340.15,344.3,20500542
2019-06-11,345.05,348.3,342.85,347.1,16281297
2019-06-12,346.95,346.95,342.3,344,11564970
2019-06-13,343,347.45,339.8,346.5,15509948
2019-06-14,345.5,346.35,342.55,343.8,10347594
2019-06-17,343.75,343.75,336.95,337.85,13779496
2019-06-18,335.5,344,333.8,340.05,21957480
2019-06-19,343.1,345.2,335.5,338.85,16416903
2019-06-20,341,346.25,335.6,345.15,20626861
2019-06-21,344.8,350.7,343.15,349.4,24749090
2019-06-24,350,354.75,349.65,353.2,17919504
2019-06-25,352.7,357,351.25,356.55,15922634
2019-06-26,355.75,359,354.3,358.15,15835579
2019-06-27,358.1,363,357.25,362.15,29658120
2019-06-28,362.2,365,358.7,361.25,22708464
2019-07-01,362.8,363,358.5,361.55,12348793
2019-07-02,362.15,365,360.35,364.5,14482172
2019-07-03,365.25,366.7,363,366.15,12626285
2019-07-04,367.25,370.9,366.2,367.4,19252646
2019-07-05,369.45,373.6,366,370.65,30019347
2019-07-08,368,368.45,353.5,355.3,27247892
2019-07-09,353.5,360,352.5,359.5,16579914
2019-07-10,360.55,361.5,351.3,354.2,18681819
2019-07-11,358.5,364,357,363.2,20048321
2019-07-12,363,366.55,361.5,363.6,14661748
2019-07-15,364.1,365,357.6,360.05,15665939
2019-07-16,358.5,366,357.65,364.35,16251836
2019-07-17,364.05,373.55,363.05,372.4,17545177
2019-07-18,371.95,373.8,362.55,363.65,21691056
2019-07-19,365.1,366.05,355.15,356,22213173
2019-07-22,356,359.55,348.7,350.85,19682038
2019-07-23,351.2,353,341,342.2,27956145
2019-07-24,341.85,344.7,336.25,339.6,20823143
2019-07-25,341.7,343.2,337.4,341.3,19857643
2019-07-26,340.8,346.15,340.5,342.6,16139052
2019-07-29,343.95,346.55,336.8,343.8,17060483
2019-07-30,344.4,346.7,325.85,327.55,24437235
2019-07-31,325.1,333.2,323.9,332.2,22741445
2019-08-01,330.8,331.5,311.35,317.15,40853304
2019-08-02,315.55,322.25,307.05,308.45,64472348
2019-08-05,298.45,302.85,291.7,300.25,48815899
2019-08-06,298.8,304.25,297.25,301.4,30442970
2019-08-07,302.4,302.45,288.8,289.9,30820114
2019-08-08,290,295.5,285.6,294.35,32929233
2019-08-09,296.3,298,290.05,291.35,23377581
2019-08-12,291.35,291.35,291.35,291.35,0
2019-08-13,290.9,291.55,282.5,283.35,24231272
2019-08-14,285.05,291.25,284.5,289.75,18523649
2019-08-15,289.75,289.75,289.75,289.75,0
2019-08-16,287.95,292.8,284.3,290.9,20047399
2019-08-19,292,292.4,286,286.85,19831459
2019-08-20,287.3,287.4,280.65,283.7,23204417
2019-08-21,285.5,285.6,276.3,277.4,28226325
2019-08-22,278.3,278.3,267.3,268.55,27728925
2019-08-23,267.1,275.25,262.7,271.1,35212444
2019-08-26,288,288,270,280.2,64066440
