date,open,high,low,close,volume
2019-01-01,250.8,251.2,248.45,250.09,6012900
2019-01-02,249.58,249.65,245.4,248.12,8568385
2019-01-03,248,250.2,245.53,247.05,9129440
2019-01-04,247.6,250.4,246,249.59,7343980
2019-01-07,250.19,250.8,248.2,249.32,6057280
2019-01-08,248.6,248.84,245.19,245.78,8307640
2019-01-09,247.47,248.8,245.62,247.65,8238110
2019-01-10,247.8,248.4,243.27,243.91,8257215
2019-01-11,245,245.84,242.64,244.64,10646495
2019-01-14,243.4,244.89,241.28,242.35,6823475
2019-01-15,243.4,244,242.06,242.68,5769355
2019-01-16,243.14,243.39,239.6,240.55,11873245
2019-01-17,241.6,245.01,240,243.99,19672500
2019-01-18,244.02,248.6,243.3,248.04,12992860
2019-01-21,248.14,255.1,244.53,253.52,48926830
2019-01-22,255.8,261.59,254.62,258.35,45363400
2019-01-23,259.78,259.78,254.21,255.3,16292910
2019-01-24,254.8,255.3,252.6,253.55,7298880
2019-01-25,253.76,257.54,251.71,253.23,7206480
2019-01-28,253.8,257,251,252.09,10272960
2019-01-29,252,254.6,249.6,250.28,12957950
2019-01-30,251,251.1,243.56,244.44,13771160
2019-01-31,244.4,252,242.28,251.15,14843300
2019-02-01,251.41,254.16,248.04,251.14,10945770
2019-02-04,249,254.94,249,254.44,6896595
2019-02-05,255.2,257.4,253.5,255.83,9588910
2019-02-06,256,257.76,255.27,255.9,5793705
2019-02-07,256,259,255.06,256.91,5992050
2019-02-08,256.8,262.2,255.46,259.88,12407165
2019-02-11,259.2,263,258.8,260.31,15723375
2019-02-12,260,262,259.06,259.73,7410050
2019-02-13,261,261.35,258.56,259.66,4514110
2019-02-14,260.4,260.45,254.31,257.36,12455555
2019-02-15,257.56,258,254,256.73,10034775
2019-02-18,256.2,257.6,254.65,255.41,6325865
2019-02-19,255.4,257.05,254.37,256.09,6341640
2019-02-20,256.26,258.4,255.84,257.95,6751010
2019-02-21,258.38,259.52,256.7,257.83,9095470
2019-02-22,250.2,251.6,245,247.58,419299520
2019-02-25,248.68,249.37,246,248.19,18677950
2019-02-26,244.8,249.94,244.02,247.23,25132855
2019-02-27,247.6,248.32,242.22,243.23,26943610
2019-02-28,242.64,245.01,242,242.62,43614180
2019-03-01,244.34,246.1,243.47,245.19,10814170
2019-03-04,245.19,245.19,245.19,245.19,0
2019-03-05,244.78,249.26,243.56,248.09,15642255
2019-03-06,248.42,249.4,247.32,248.26,11534170
2019-03-07,248.8,249.2,247.04,247.44,7172805
2019-03-08,247.4,248.7,246.34,247.78,5257165
2019-03-11,247.6,250.98,246.8,249.91,10326930
2019-03-12,252.09,254.4,250.62,252.67,17706800
2019-03-13,252.7,253.82,249.41,252.25,12127350
2019-03-14,252.6,255.49,251.4,253.79,12486930
2019-03-15,254.38,267.87,254,265.03,51967525
2019-03-18,268,272,266.16,268.73,26923700
2019-03-19,270,271,267.71,269.55,15586060
2019-03-20,269.82,271.58,266.2,270.32,19847040
2019-03-21,270.32,270.32,270.32,270.32,0
2019-03-22,270.94,272.93,266.2,267.25,13100245
2019-03-25,265.19,266.17,260.64,261.73,14347820
2019-03-26,262.45,269.59,262.01,268.59,10255850
2019-03-27,269.99,272.78,265.01,266.57,15197290
2019-03-28,267.6,270.4,265.78,268.15,23083475
2019-03-29,270,270.4,265.82,266.9,11288830
2019-04-01,267.2,272.4,265.21,267.88,15837560
2019-04-02,268.8,268.97,265.6,267.89,8877995
2019-04-03,268.4,271.49,266.2,266.84,13832830
2019-04-04,267.48,268.95,263.41,264.58,12964745
2019-04-05,266,268.01,265.23,267.19,8718645
2019-04-08,268.2,269.5,266.64,268.65,7939335
2019-04-09,267.99,269.43,264.42,268.29,11234215
2019-04-10,267.61,273.59,267.61,269.98,15156035
2019-04-11,269.94,269.99,266.71,268.64,6742865
2019-04-12,268.64,269.6,267.31,268.69,8524160
2019-04-15,269.6,275.6,268.69,274.77,14395115
2019-04-16,276.48,278.09,274.02,277.28,11663980
2019-04-17,277.28,277.28,277.28,277.28,0
2019-04-18,277.28,278.4,272.57,273.93,12044680
2019-04-19,273.93,273.93,273.93,273.93,0
2019-04-22,272,273.16,269.22,271.34,12095540
2019-04-23,271.59,273.71,270.2,271.07,8098435
2019-04-24,271,274,267.93,273.35,9672055
2019-04-25,273.78,275.4,271,272.08,9037990
2019-04-26,272.4,276.88,268.56,275.85,12804320
2019-04-29,275.85,275.85,275.85,275.85,0
2019-04-30,276.44,279.4,270.21,277.31,31052865
2019-05-01,277.31,277.31,277.31,277.31,0
2019-05-02,278.8,284.35,276.5,281.27,23904025
2019-05-03,281.28,287.15,280.04,283.56,21348375
2019-05-06,280,283.4,279.94,282.08,10547535
2019-05-07,282,285,279.85,281.63,13933680
2019-05-08,280.8,282.98,277.74,280.44,12696575
2019-05-09,278.84,281.58,273.26,277.1,23523910
2019-05-10,274,281.3,273.62,279.63,20748545
2019-05-13,279.2,279.95,276.01,277.87,8274820
2019-05-14,277.7,279.4,273.72,276.59,14651480
2019-05-15,276.8,280.71,275.74,279.16,10611000
2019-05-16,279.38,284.69,275.73,282.63,7116800
2019-05-17,283.2,293.96,283.08,292,18996095
2019-05-20,298.2,301.06,292.22,300.51,23343645
2019-05-21,300.6,302.96,296.76,297.58,16121390
2019-05-22,298.6,303.54,297.74,299.05,12493315
2019-05-23,303.8,311.18,297.84,299.95,28982870
2019-05-24,302,304.8,298,302.34,14366950
2019-05-27,301.33,306.6,300,305.88,11140315
2019-05-28,306.6,306.6,300,302.2,9966510
2019-05-29,301.86,306,300.4,302.78,7254130
2019-05-30,302.78,308.35,302.38,307.07,14697095
2019-05-31,307.2,308.8,293.48,304.43,13801070
2019-06-03,302.64,306.96,301.2,306.25,6176510
2019-06-04,306,308,304.44,306.27,5872165
2019-06-05,306.27,306.27,306.27,306.27,0
2019-06-06,306.51,308.18,300.2,302.85,10224595
2019-06-07,304.76,304.76,297.55,302.36,7669460
2019-06-10,300.66,302.18,297.32,300.52,8575750
2019-06-11,301.86,302.85,298.51,301.54,4724055
2019-06-12,300,300.5,295.23,296.7,8842145
2019-06-13,296.4,301.8,295.39,300.8,11516575
2019-06-14,300.81,300.81,293.12,294.77,9767550
2019-06-17,295.6,295.68,290.22,292.07,11831110
2019-06-18,293,294.9,291.03,292.37,12124090
2019-06-19,294.6,300.96,294.38,299.56,19456650
2019-06-20,300.1,304,299.4,303.67,12837830
2019-06-21,303.2,303.2,296.64,297.96,6074210
2019-06-24,297.8,299.46,292.87,294.12,10132655
2019-06-25,294.37,298.25,293.4,296.78,10262450
2019-06-26,297,299.2,295.07,298.12,11052310
2019-06-27,300,301.34,295.5,296.32,19302695
2019-06-28,297,297.22,294.32,295.42,9070430
2019-07-01,297.38,298.18,293.88,296.24,9521795
2019-07-02,296.78,297.39,293.41,294.3,9018660
2019-07-03,294.79,296.4,292.47,295,13235240
2019-07-04,295,300.97,295,299.56,15129625
2019-07-05,300.97,304,300.01,303.44,14836600
2019-07-08,302.68,302.68,294.01,295.06,8961290
2019-07-09,294.2,294.6,288,292.57,11487100
2019-07-10,292.6,296.37,292.17,295.17,10903660
2019-07-11,295.8,298.76,294.41,296.99,7992455
2019-07-12,297.39,298.9,295.18,296.73,10362725
2019-07-15,297.8,302.19,295.72,301.62,8760770
2019-07-16,301.6,302.3,298,300.29,6757175
2019-07-17,300.38,309.37,299.41,306.92,31012670
2019-07-18,306.27,308.65,305.24,307.65,11334100
2019-07-19,308,308.15,298,299.78,10471145
2019-07-22,298.6,299.39,288.43,290.86,17115785
2019-07-23,292,302.4,291.05,298.8,38298140
2019-07-24,298.6,302,295.31,299.44,14691180
2019-07-25,298.4,300.8,295.99,297.01,14194615
2019-07-26,298,303.59,295.41,302.37,8406765
2019-07-29,302.75,304.89,299.44,300.5,10498675
2019-07-30,301,301.92,296.81,299.74,8718740
2019-07-31,298.02,306.94,296.15,303.91,14739040
2019-08-01,301.19,303.8,297.2,299.16,11288765
2019-08-02,297.6,302.99,294.01,301.52,19354045
2019-08-05,299,299,291.01,292.02,19322730
2019-08-06,290.86,298.77,290.33,297.06,14153040
2019-08-07,298.78,299.92,293.11,295.26,11811905
2019-08-08,297,301.96,293.39,300.55,9660605
2019-08-09,301.2,307.1,300.85,306.42,12228295
2019-08-12,306.42,306.42,306.42,306.42,0
2019-08-13,305.02,306.8,301.05,302.28,13829875
2019-08-14,303,303.08,295.89,298.36,11774540
2019-08-15,298.36,298.36,298.36,298.36,0
2019-08-16,297.8,301.3,295.5,299.79,10848770
2019-08-19,301,303.9,298.11,299.27,7737990
2019-08-20,298.11,302.25,296.53,301.02,8623045
2019-08-21,300.8,303.56,299.2,301.15,7422075
2019-08-22,300.79,302,294.48,295.65,9373755
2019-08-23,295.98,297.4,289.22,294.04,18078965
2019-08-26,300,303.9,290.62,302.56,10938390
2019-08-27,302.8,304.55,298.89,300.31,13704020
2019-08-28,299.84,300.2,294.67,296.73,11455030
2019-08-29,295.9,295.9,289.35,290.17,19656835
2019-08-30,289.62,291.92,284.62,286.29,23587665
2019-09-02,286.29,286.29,286.29,286.29,0
2019-09-03,285.8,285.8,281.01,282.86,13762825
2019-09-04,282.82,287.6,279.73,285.29,12098145
2019-09-05,286.38,288.37,281.09,282.03,11905115
2019-09-06,282.5,288.92,282.5,288.31,11226095
2019-09-09,287.8,294.91,284.81,294.26,16063780
2019-09-10,294.26,294.26,294.26,294.26,0
2019-09-11,294.26,295.78,291.8,295.04,13024480
2019-09-12,296,296.73,290.4,291.51,12124770
2019-09-13,291.4,297.2,289.44,296.85,8842450
2019-09-16,294.8,298.37,293,294.99,9288840
2019-09-17,294.25,296.19,288.8,289.66,6772930
2019-09-18,290,295.79,289.98,292.95,9272125
2019-09-19,292.96,292.96,289,290.52,7249365
2019-09-20,291,319.78,290.1,307.77,35797445
2019-09-23,315,330.4,305.76,328.12,34270145
2019-09-24,326.66,328.34,318,323.62,18852705
2019-09-25,323.4,323.4,316.1,320.32,17837720
2019-09-26,321.4,336.79,321.05,325.37,21540140
2019-09-27,323.17,329.88,321.19,328.7,12912805
2019-09-30,327.02,332.4,322.86,328.89,16789295
2019-10-01,327.76,331.4,324.74,329.64,14627680
2019-10-02,329.64,329.64,329.64,329.64,0
2019-10-03,328.85,328.85,321.4,323.15,13272830
2019-10-04,326,326.74,311.46,312.63,27438405
2019-10-07,312.6,318.72,309.86,311.13,15227670
2019-10-08,311.13,311.13,311.13,311.13,0
2019-10-09,311.86,325.55,309.55,322.47,12992150
2019-10-10,319.98,321.47,313.4,316.96,7847105
2019-10-11,319.04,325,315.04,317.55,12129205
2019-10-14,319.6,321.8,315.25,317.1,10050950
2019-10-15,319.08,325.9,315.5,323.12,13532355
2019-10-16,323,324.66,318.52,321.11,13431665
2019-10-17,322,322.72,317.3,320.91,10381745
2019-10-18,320.76,323.92,318.2,323.05,11788035
2019-10-21,323.05,323.05,323.05,323.05,0
2019-10-22,325.37,328.6,318.4,325.77,24475410
2019-10-23,326,327.74,320.66,322.73,15426150
2019-10-24,323.98,325.98,319.51,322.64,8000005
2019-10-25,322.77,322.77,313.83,317.72,14335100
2019-10-27,318.8,320.2,318.03,318.6,988045
2019-10-28,317.72,317.72,317.72,317.72,0
2019-10-29,319.48,319.48,313.6,315.11,15012650
2019-10-30,315.98,317.71,314.76,315.78,8386345
2019-10-31,316.79,321,313.2,314.9,12407105
2019-11-01,314.4,317.19,312.6,315.98,11098685
2019-11-04,316.8,319.36,313,314.21,7171965
2019-11-05,313.72,313.95,310.06,310.78,11316970
2019-11-06,311.29,317.59,308.2,314.21,11236175
2019-11-07,315.4,317.4,311.79,316.8,12559560
2019-11-08,315.78,321.2,314.4,320.05,19568135
2019-11-11,318.98,323.88,318.4,323.38,14617870
2019-11-12,323.38,323.38,323.38,323.38,0
2019-11-13,323.4,325.6,320.22,321.16,13019170
2019-11-14,321.2,322.08,316.81,319.52,13196490
2019-11-15,321.2,325.8,320.5,324.55,10342030
2019-11-18,325.33,327,323.31,325.44,10074870
2019-11-19,325.98,326.22,322.83,324.76,7982410
2019-11-20,324.6,324.76,319.24,319.89,7812180
2019-11-21,320.69,320.98,317.5,319.05,8369070
2019-11-22,318.39,318.78,313.02,313.82,9312170
2019-11-25,314.8,321.2,314.01,320.73,10092105
2019-11-26,320.2,322.1,318.26,320.88,7784040
2019-11-27,320.99,324.8,320.34,323.58,10204415
2019-11-28,323.4,325.22,321.42,323,11188800
2019-11-29,322,324.4,318.46,323.04,8652390
2019-12-02,322.9,327.3,320.04,326.6,11448520
2019-12-03,326.9,330,326.29,329.35,11608915
2019-12-04,328.66,331.98,326.64,330.25,13520395
2019-12-05,330.25,332,328.08,329.86,14684450
2019-12-06,330,336,328.66,334.86,18997535
2019-12-09,335.59,335.8,331.3,331.85,9468700
2019-12-10,333,333.19,330.21,332.48,7065780
2019-12-11,333.2,338.17,331.82,337.31,10145585
2019-12-12,338.04,344,336.4,343.12,13477940
2019-12-13,343.24,343.8,337.45,338.55,17638170
2019-12-16,338.8,346,338.8,340.79,18310635
2019-12-17,343.21,344.28,341.72,342.66,13234410
2019-12-18,343.8,345.19,341.26,344.87,22963340
2019-12-19,344.99,346.96,343.06,345.9,13507510
2019-12-20,344.63,344.88,337.46,338.54,15293395
2019-12-23,339.8,342.24,339.02,340.98,8727440
2019-12-24,340.99,343.3,340,342.31,8513520
2019-12-25,342.31,342.31,342.31,342.31,0
2019-12-26,342.21,343,337.94,338.85,8234850
2019-12-27,341,341,336.27,337.12,7646830
2019-12-30,338,341.36,337.1,338.08,9341420
2019-12-31,338.08,338.25,334.07,336.87,9848395
2020-01-01,337.8,339.35,334.4,334.81,7375280
2020-01-02,336,336.7,332.93,334.31,9260445
2020-01-03,334.19,334.6,329.11,331.42,7970445
2020-01-06,331.42,331.49,327.72,330.51,7400435
2020-01-07,332.21,334.95,330.08,334.17,12489655
2020-01-08,330.94,332.29,327.6,330.97,15629655
2020-01-09,334.7,334.75,331.74,333.01,13342120
2020-01-10,334.82,338.4,334.24,336.94,12680415
2020-01-13,338.4,340.9,337.11,338.22,9039790
2020-01-14,339.2,339.22,334.2,335.36,10684460
2020-01-15,335.19,337.32,333.18,335.12,12451225
2020-01-16,335.78,341.12,335.78,340.31,16606410
2020-01-17,340.78,341.17,338.02,339.62,11479375
2020-01-20,341.8,341.8,322.2,323.58,40020170
2020-01-21,321,326.12,317.04,325.02,28727345
2020-01-22,326.64,327.58,315.2,317.1,27395810
2020-01-23,317.6,321.68,316.26,321.17,17478415
2020-01-24,321.09,329.8,317.4,328.59,21264685
2020-01-27,325.74,325.8,321.68,323.67,9372145
2020-01-28,324,327.6,322.05,325.21,9905520
2020-01-29,326.6,329.24,324.61,328.09,11137465
2020-01-30,327.56,328.06,323.5,325.65,7950780
2020-01-31,341.93,345.8,336.63,338.35,47475230
2020-02-01,336.8,337.89,326.01,329.59,11316570
2020-02-03,329.12,336.16,326.8,335.25,12551470
2020-02-04,336.81,340.56,334.03,339.66,10352085
2020-02-05,340.4,341.49,335.42,337.95,10482560
2020-02-06,338.78,339.58,333.6,334.8,12663090
2020-02-07,335.15,335.59,328.8,330.61,11450755
2020-02-10,332,334.92,329.14,333.86,6775620
2020-02-11,336.49,337.16,333.31,335.49,9573830
2020-02-12,336.02,344,335,342.98,15052685
2020-02-13,342.94,342.94,336.46,337.96,11234600
2020-02-14,339.2,340.6,332.72,336.19,9460785
2020-02-17,337,339.84,334.45,338.22,9063825
2020-02-18,336.5,339.96,335.66,338.2,11095195
2020-02-19,348,348,339.08,340.22,15842670
2020-02-20,339.46,339.85,335.24,337.19,10499515
2020-02-21,337.19,337.19,337.19,337.19,0
2020-02-24,334.4,336.75,332.46,335.65,9630665
2020-02-25,335.24,337.94,333.67,335.16,7677775
2020-02-26,334.02,335.54,331.4,333.3,12929475
2020-02-27,333.2,337.78,332.12,336.55,13446760
2020-02-28,330.98,332.02,322.75,324.07,18716560
2020-03-02,326.2,327.46,316.84,319.8,23814235
2020-03-03,320.76,327.27,317.4,325.26,14591930
2020-03-04,326.44,326.62,315.52,321.59,12651105
2020-03-05,323,335.3,321.6,330.27,25304810
2020-03-06,321.04,328.8,319.64,326.21,17711215
2020-03-09,319,321.99,308.52,315.63,27677505
2020-03-10,315.63,315.63,315.63,315.63,0
2020-03-11,315.19,320.98,308.5,317.86,23571010
2020-03-12,301.98,309.29,270.19,293.01,39039565
2020-03-13,280,301,234.41,294.01,57044450
2020-03-16,283.4,288.95,275,276.74,32902600
2020-03-17,278.4,280.59,260.62,264.54,24105575
2020-03-18,265.2,265.8,232.42,234.39,55827210
2020-03-19,219.01,250.72,200.2,242.17,49586245
2020-03-20,243.4,256.72,229.3,252.47,51895950
2020-03-23,227.5,240.89,215.63,219.65,33472025
2020-03-24,230.63,237,208.22,230.58,36859170
2020-03-25,228,264.8,225.01,258.03,32245300
2020-03-26,260,278,250.56,274.59,36274745
2020-03-27,287.2,290,274.91,279.82,51116430
2020-03-30,269.04,276,255.16,258.74,27851625
2020-03-31,265.66,266,257,259.21,22384305
2020-04-01,258.98,258.98,231.6,236.33,54192310
2020-04-02,236.33,236.33,236.33,236.33,0
2020-04-03,236.33,236.6,217.4,228.17,50557355
2020-04-06,228.17,228.17,228.17,228.17,0
2020-04-07,244.2,245.81,234.2,239.61,42762850
2020-04-08,236.96,248.51,232.07,237.53,37025435
2020-04-09,243,256.24,238.02,254.58,40487010
2020-04-10,254.58,254.58,254.58,254.58,0
2020-04-13,250,251.43,243.2,250.18,21252680
2020-04-14,250.18,250.18,250.18,250.18,0
2020-04-15,253.17,254.19,230.66,234.75,45228380
2020-04-16,232.99,232.99,222.89,226.17,55276025
2020-04-17,237.47,239.59,227,237.25,42926975
2020-04-20,244,244.9,234.45,235.55,32800900
2020-04-21,230,231,225,226.03,23998980
2020-04-22,225.41,233.35,221.64,230.43,34818460
2020-04-23,234.4,251,231.62,249.93,52791235
2020-04-24,243.8,251.6,242.67,247.91,33921175
2020-04-27,250.38,264.98,250.38,260.72,38857060
2020-04-28,262.02,267.3,262.02,265.33,33391940
2020-04-29,265.4,270.4,263.04,265.57,33516145
2020-04-30,268,276,266.81,271.44,31362610
2020-05-01,271.44,271.44,271.44,271.44,0
2020-05-04,259,261.18,252.74,255.56,25482195
2020-05-05,259.4,260.58,245,247.67,25024205
2020-05-06,246.2,255.48,242.85,249.19,23021370
2020-05-07,246.1,248,236.85,239.96,34216360
2020-05-08,244.4,248.59,242.21,243.49,17556020
2020-05-11,248.11,250.46,237,237.69,23370405
2020-05-12,235.6,235.6,227.4,231.44,51342750
2020-05-13,243.01,244,234.54,237.34,59574620
2020-05-14,235.78,242.8,233.43,234.62,35499850
2020-05-15,235.97,237.98,230.84,235.66,19319900
2020-05-18,235,235.2,222,222.73,31987080
2020-05-19,230,233.98,225.06,226.09,31914605
2020-05-20,226,235.6,223,232.02,26271940
2020-05-21,233,237.91,228.92,230.05,29885640
2020-05-22,228,233.44,223.3,232.04,25948740
2020-05-25,232.04,232.04,232.04,232.04,0
2020-05-26,232,235,228.91,230.64,27353985
2020-05-27,232.79,248.6,232.2,243.51,58726830
2020-05-28,244.8,250.98,241.92,245.89,53550015
2020-05-29,243.3,245.96,240.01,244.8,27486760
2020-06-01,249.8,255.84,247.6,249.68,34717880
2020-06-02,264.6,270.65,259.61,268.58,86600150
2020-06-03,272.8,285.64,268.44,277.31,61722075
2020-06-04,276.01,276.01,266.07,266.88,30020720
2020-06-05,268.8,271.6,264.2,267.56,28440585
2020-06-08,271,273,263.1,267.35,26511485
2020-06-09,268.39,272,259.82,260.83,27386665
2020-06-10,260.9,268.86,260.72,266.45,24381800
2020-06-11,266.8,266.88,257.84,259.74,21884065
2020-06-12,248,257.94,246.32,255.96,44962120
2020-06-15,254,254.23,247.44,249.78,37767895
2020-06-16,255.2,259.16,247.62,255.36,26331460
2020-06-17,253.89,256.99,247.32,248.76,27146320
2020-06-18,248,261.98,245.67,260.67,33362610
2020-06-19,260.8,263.15,255.27,260.5,42463075
2020-06-22,261.96,277,259.19,271.07,38169335
2020-06-23,271,279.14,270.01,277.98,23349125
2020-06-24,278.4,279.6,267.39,268.78,26663085
2020-06-25,267.4,277.95,265,276.34,49925190
2020-06-26,276,276.59,265.39,268.02,33470980
2020-06-29,267.22,273.38,262.6,271.13,19098405
2020-06-30,272.98,274.58,269.01,272.09,23888320
2020-07-01,263.8,272.96,263.2,271.35,44697925
2020-07-02,271.63,274.38,268.46,270.4,24964910
2020-07-03,271.98,273.74,270.01,270.76,13840515
2020-07-06,274,276.25,272.2,273.58,16240365
2020-07-07,274,274.88,270.3,273.65,17871440
2020-07-08,273.6,275.77,269.6,270.55,16915525
2020-07-09,271.15,274.92,269.55,273.63,17229575
2020-07-10,272.68,275,269.11,269.87,15089795
2020-07-13,272,272.98,264.82,267.11,16783485
2020-07-14,265.76,266.28,258.66,259.66,14574715
2020-07-15,261.28,262.39,256,258,21862715
2020-07-16,257.72,265.58,253.4,264.53,21020285
2020-07-17,263.4,267.58,260.22,265.49,21000815
2020-07-20,266,267.34,261.8,263.81,17408710
2020-07-21,265.02,272.6,265,271.8,22021225
2020-07-22,273,273.27,266.19,268.47,20862875
2020-07-23,268,275.97,267.06,274.81,21543595
2020-07-24,272,273,268.32,270,15561890
2020-07-27,273,275.9,262.03,264.52,37804195
2020-07-28,266.02,280.36,263.88,276.81,33758855
2020-07-29,277,279.59,269.18,277.89,20338950
2020-07-30,279.02,284.94,275.2,277,30485515
2020-07-31,275,277.99,270.07,273.15,16115350
2020-08-03,271.2,271.2,260.02,261.71,26206300
2020-08-04,264,266.27,260.4,264.79,24732980
2020-08-05,266.4,270.6,264.4,266.84,17378010
2020-08-06,269,273.48,266.13,268.02,18389150
2020-08-07,268.3,269.56,264.65,268.5,14035345
2020-08-10,269.8,276,269.24,272.04,14800280
2020-08-11,274.6,277,271.43,272.92,12514625
2020-08-12,270,270.97,266.71,267.02,19200950
2020-08-13,268.38,271.7,266.79,267.25,16656640
2020-08-14,267.51,269.36,260.46,261.49,16657510
2020-08-17,264.02,266.71,262.44,265.51,14156700
2020-08-18,263.72,274.99,263.6,273.87,21309745
2020-08-19,274.47,276.18,269.99,271.12,16983820
2020-08-20,268.6,270,266.03,267.67,14206945
2020-08-21,268.4,270.4,266.21,267.88,12425830
2020-08-24,269.52,279.3,268.47,277.45,30145690
2020-08-25,278.4,281,276.11,280.02,22811185
2020-08-26,282,288.33,280.64,287.34,28593240
2020-08-27,288.2,289.17,282.31,284,21417855
2020-08-28,282,294.8,280.2,293.42,53228510
2020-08-31,297.6,300.3,274.8,280.27,34868765
2020-09-01,283.97,288.4,277.22,286.13,21291070
2020-09-02,285,287.5,281.43,284.7,16626250
2020-09-03,286.76,287.4,278,279.34,11975745
2020-09-04,276,278.94,270.8,276.01,20508780
2020-09-07,275.8,275.8,271.28,273.75,11607735
2020-09-08,274.38,274.43,269.54,270.14,14119345
2020-09-09,268.6,270.05,262.62,265.23,17217005
2020-09-10,266,268.61,263.02,263.9,16449740
2020-09-11,263.4,267.24,262.2,266.07,17501570
2020-09-14,267.4,269.59,260,260.94,19455565
2020-09-15,261.62,265.77,257.8,264.79,25149565
2020-09-16,264.8,266.4,260.11,265.08,16429435
2020-09-17,263,265.32,260.24,261.02,16544955
2020-09-18,262.62,262.8,252.5,255.42,32645685
2020-09-21,255.2,263.89,254.63,257.57,34298955
2020-09-22,257.61,260.3,252.34,254.11,21191625
2020-09-23,256.01,257.49,253.03,255.08,14176745
2020-09-24,253.4,256.98,247.2,249.22,28080625
2020-09-25,251.01,251.68,246.12,250.61,18199870
2020-09-28,251.6,256.79,250.73,255.74,9460495
2020-09-29,257.36,258.58,251.82,252.65,11747350
2020-09-30,252.65,255.39,250.4,253.64,14753080
2020-10-01,256,261.96,255.78,261.01,15811955
2020-10-02,261.01,261.01,261.01,261.01,0
2020-10-05,262,266.74,261.72,262.92,19300040
2020-10-06,265,268.4,262.21,267.65,13162655
2020-10-07,267.98,268,264.37,264.94,14173350
2020-10-08,265.3,268.25,262.25,264.02,25856265
2020-10-09,264.6,267.65,261.12,263.97,26563380
2020-10-12,265.6,271.64,261.5,262.58,25875695
2020-10-13,263.93,269.94,261.44,268.99,24360745
2020-10-14,267.05,271.6,264.83,270.67,16790105
