date,open,high,low,close,volume
2019-01-01,1445,1445,1425.2,1441.9,786846
2019-01-02,1441,1444.9,1417.1,1425.5,2058504
2019-01-03,1426,1429,1391,1395,2290756
2019-01-04,1401.9,1407.6,1373.55,1388.05,2711485
2019-01-07,1397,1408.6,1379.05,1383.8,1851513
2019-01-08,1387.5,1393.85,1375,1382.2,1437271
2019-01-09,1389.5,1393.55,1372,1386.05,1413005
2019-01-10,1388,1398.9,1383.25,1392.6,1063647
2019-01-11,1393,1393.9,1361.05,1369.6,2489197
2019-01-14,1367.2,1367.2,1331,1333.9,3080984
2019-01-15,1340,1348,1330,1340.9,3079248
2019-01-16,1342.9,1361.5,1336,1342.15,2454470
2019-01-17,1345.1,1351.8,1336.95,1346.05,1610419
2019-01-18,1350.85,1352,1313,1317.9,2135781
2019-01-21,1279,1337.25,1273.45,1314.55,8813681
2019-01-22,1316.9,1321.5,1298.1,1301.15,2544978
2019-01-23,1301,1306.9,1293.55,1301.45,1821323
2019-01-24,1305,1305.55,1287,1295.35,1654706
2019-01-25,1300,1314.1,1281.5,1285.45,3136788
2019-01-28,1295.45,1337.9,1291.65,1300.45,8004136
2019-01-29,1304,1308.8,1268.2,1278.05,3685535
2019-01-30,1284.3,1309,1281,1294.45,2385425
2019-01-31,1304,1321.7,1296.55,1314.3,5852257
2019-02-01,1315.5,1334.55,1313,1324.6,2515736
2019-02-04,1326.85,1326.85,1302.6,1307.4,2308931
2019-02-05,1310.7,1323,1300,1304.6,1447400
2019-02-06,1308,1322,1293.05,1314.4,2034886
2019-02-07,1314,1320.85,1289.2,1296.05,1556295
2019-02-08,1295,1298.9,1255.55,1261.75,2993525
2019-02-11,1259,1259,1221,1246.5,2981408
2019-02-12,1244.5,1264.9,1241.55,1246.85,1571390
2019-02-13,1248.2,1254.85,1211.9,1216.65,2527941
2019-02-14,1219,1231.75,1201.1,1227.6,6974738
2019-02-15,1244,1253.9,1230.9,1243.1,3620228
2019-02-18,1245,1259.55,1240,1244.5,2186849
2019-02-19,1245,1270,1245,1258.3,2389086
2019-02-20,1265,1282.65,1264.2,1276.55,2433082
2019-02-21,1282,1291.5,1265.1,1284.1,2392129
2019-02-22,1282,1283.4,1265.5,1280.35,2390188
2019-02-25,1280.35,1286.45,1264,1275.85,5873730
2019-02-26,1263.8,1275,1253,1265.85,2417931
2019-02-27,1270.55,1295,1268,1284.7,3555914
2019-02-28,1293,1302.95,1273.3,1292.95,9321535
2019-03-01,1300.3,1311.95,1297.25,1308.55,2831577
2019-03-04,1308.55,1308.55,1308.55,1308.55,0
2019-03-05,1302,1310.4,1277.05,1305.8,3948051
