date,open,high,low,close,volume
2019-01-01,7449.75,7494,7395,7476.8,625360
2019-01-02,7445,7460,7244,7267.85,891844
2019-01-03,7280,7350,7185.6,7203.95,715168
2019-01-04,7239,7309,7161.2,7234.5,774445
2019-01-07,7310,7407,7300,7362.05,687845
2019-01-08,7380,7454.8,7322.1,7439.5,516841
2019-01-09,7460.5,7529,7414,7492.9,740580
2019-01-10,7500,7511,7360.15,7391.6,452699
2019-01-11,7382.7,7400,7282,7320.5,488399
2019-01-14,7330,7433.35,7257,7408.7,424152
2019-01-15,7430,7470,7317,7355.15,491196
2019-01-16,7349.5,7384,7291.1,7310.25,424769
2019-01-17,7339,7398.95,7307.5,7336.25,462725
2019-01-18,7345,7379.95,7318,7357.95,334555
2019-01-21,7358,7380,7161,7208.4,654537
2019-01-22,7180,7180,7054.5,7068.85,896521
2019-01-23,7050,7132.25,7025,7045.4,702474
2019-01-24,7059.9,7098,7014.4,7040.6,520703
2019-01-25,7054,7133,6410,6513.4,3062762
2019-01-28,6512.5,6610,6317.7,6511.05,2398091
2019-01-29,6480,6619.15,6447.4,6526.95,1101399
2019-01-30,6559,6588,6508,6548.25,583773
2019-01-31,6575,6660.05,6460.05,6641.15,926270
2019-02-01,6679,7204,6652.55,6962.3,2545419
2019-02-04,6975,7039,6851.65,6988.2,658776
2019-02-05,6995,7125,6985.4,7093.6,681498
2019-02-06,7120,7220,7067,7183.4,567827
2019-02-07,7201,7320,7185.1,7302.55,690174
2019-02-08,7270,7300,7100,7134.25,576159
2019-02-11,7150,7209.95,7051.1,7177.9,502244
2019-02-12,7193,7230,7127.95,7162.5,494592
2019-02-13,7157,7165,6994.35,7028.25,563690
2019-02-14,7036.7,7111.2,6990,7017.5,622311
2019-02-15,7027.4,7058.7,6900,6930.05,768798
2019-02-18,6964.7,6997.8,6817,6842.7,509963
2019-02-19,6855,6915.9,6771,6804.55,493861
2019-02-20,6842,6888,6804.4,6849.9,534284
2019-02-21,6868.95,6879.65,6715,6801.55,722938
2019-02-22,6827,6939,6819.05,6912.4,764535
2019-02-25,6948,6984.9,6870.05,6924.9,495728
2019-02-26,6885,6975,6812.6,6904.3,673415
2019-02-27,6943,7048,6853.2,6968.5,961829
2019-02-28,7010,7040,6801,6829.7,1031563
2019-03-01,6876.8,6950,6827.25,6935.15,768822
2019-03-04,6935.15,6935.15,6935.15,6935.15,0
2019-03-05,6950,7158.15,6894.45,7117.75,838538
2019-03-06,7137.85,7144.9,7010,7056.9,557197
2019-03-07,7078,7092.5,7002,7029.05,396771
