date,open,high,low,close,volume
2019-01-02,10868.85,10895.35,10735.05,10792.5,309700
2019-01-03,10796.8,10814.05,10661.25,10672.25,286200
2019-01-04,10699.7,10741.05,10628.65,10727.35,296600
2019-01-07,10804.85,10835.95,10750.15,10771.8,269400
2019-01-08,10786.25,10818.45,10733.25,10802.15,277700
2019-01-09,10862.4,10870.4,10749.4,10855.15,333000
2019-01-10,10859.35,10859.35,10801.8,10821.6,254400
2019-01-11,10834.75,10850.15,10739.4,10794.95,260800
2019-01-14,10807,10808,10692.35,10737.6,298800
2019-01-15,10777.55,10896.95,10777.55,10886.8,310700
2019-01-16,10899.65,10928.15,10876.9,10890.3,276500
2019-01-17,10920.85,10930.65,10844.65,10905.2,271700
2019-01-18,10914.85,10928.2,10852.2,10906.95,323800
2019-01-21,10919.35,10987.45,10885.75,10961.85,288800
2019-01-22,10949.8,10949.8,10864.15,10922.75,300800
2019-01-23,10931.05,10944.8,10811.95,10831.5,298900
2019-01-24,10844.05,10866.6,10798.65,10849.8,361100
2019-01-25,10859.75,10931.7,10756.45,10780.55,463400
2019-01-28,10792.45,10804.45,10630.95,10661.55,419700
2019-01-29,10653.7,10690.35,10583.65,10652.2,356900
2019-01-30,10702.25,10710.2,10612.85,10651.8,410100
2019-01-31,10690.55,10838.05,10678.55,10830.95,604800
2019-02-01,10851.35,10983.45,10813.45,10893.65,482300
2019-02-04,10876.75,10927.9,10814.15,10912.25,318300
2019-02-05,10908.65,10956.7,10886.7,10934.35,268100
2019-02-06,10965.1,11072.6,10962.7,11062.45,298500
2019-02-07,11070.45,11118.1,11043.6,11069.4,263500
2019-02-08,11023.5,11041.2,10925.45,10943.6,352800
2019-02-11,10930.9,10930.9,10857.1,10888.8,286000
2019-02-12,10879.7,10910.9,10823.8,10831.4,292300
2019-02-14,10786.1,10792.7,10718.75,10746.05,627000
2019-02-15,10780.25,10785.75,10620.4,10724.4,521900
2019-02-18,10738.65,10759.9,10628.4,10640.95,345400
2019-02-19,10636.7,10722.85,10585.65,10604.35,291500
2019-02-20,10655.45,10752.7,10646.4,10735.45,289200
