date,open,high,low,close,volume
2019-01-01,432.5,438.8,429.65,433.55,8487116
2019-01-02,430.5,441.2,429.25,440.05,9656878
2019-01-03,442.05,443.6,434,436.1,9479511
2019-01-04,439.1,439.9,432.2,433.8,6228693
2019-01-07,437.1,438,429.3,430.8,4118235
2019-01-08,433.8,449,432.35,448.05,12368631
2019-01-09,450.5,453.65,443.7,448.75,9034282
2019-01-10,445.1,448,440.45,444.6,3672333
2019-01-11,445.05,449.75,441.6,444.4,3778103
2019-01-14,447,452,443.75,450.85,5784064
2019-01-15,453.25,454.5,449.5,452.45,4291873
2019-01-16,451.4,457.4,447.15,453.8,5879148
2019-01-17,455,455.4,422.5,426.55,8343750
2019-01-18,424.05,424.1,370.2,390.75,82906214
2019-01-21,390.1,406.55,390.05,398.3,48936782
2019-01-22,411,423.5,409.4,418.95,38255365
2019-01-23,417.7,434.4,411.65,431,26921274
2019-01-24,431,438,417.1,423,18446490
2019-01-25,425.4,429.75,419.35,422.4,8720973
2019-01-28,424,424.75,410.15,411.75,5809082
2019-01-29,410.5,424.75,406.25,422.4,7472930
2019-01-30,424,426,416.2,417.95,4351530
2019-01-31,419,431.35,413.7,423.45,16672076
2019-02-01,421.2,428,417,423.25,3950126
2019-02-04,422.3,423,409.2,414.8,3679517
2019-02-05,414.8,418.5,406.55,409.9,3523707
2019-02-06,410,419,403.3,416.6,5638849
2019-02-07,423,445.8,421.1,434.9,18187249
2019-02-08,434,435.9,424.5,431.05,6133747
2019-02-11,432.25,433.6,420.85,428.55,4945054
2019-02-12,427.2,444,424.05,436.6,8559968
2019-02-13,454.9,455,426.45,431.25,31434625
2019-02-14,432,444.9,428.65,440.9,9040227
2019-02-15,440.75,440.75,416.45,422.9,10206627
2019-02-18,424.5,428,413.3,414.65,6210412
2019-02-19,417.15,422.4,412.35,413.65,4742270
2019-02-20,418,424.45,416.05,422.35,4385350
2019-02-21,425.2,432,422.7,429.7,4736317
2019-02-22,431,436.75,428.45,430.5,4373261
2019-02-25,431.4,438.75,427.5,436.1,4849697
2019-02-26,430.5,440,422.85,435.75,5255113
2019-02-27,436.5,451.65,436,442.7,12232682
2019-02-28,446.6,451.5,442.1,445.15,10862473
2019-03-01,447.9,451,445.05,447.35,5608805
2019-03-04,447.35,447.35,447.35,447.35,0
2019-03-05,447.85,456.9,445.35,455.9,5251255
2019-03-06,457,469.35,446.95,460.55,13004184
2019-03-07,459.5,463,448.8,450.9,10701581
2019-03-08,449.5,457.9,447.3,454.95,5040326
2019-03-11,456,461.45,454,459.45,4628360
2019-03-12,463,471.65,462,470.3,8660320
2019-03-13,473,475,452.5,456.5,7156428
2019-03-14,456.9,468.5,456,466.15,8039525
2019-03-15,466.2,469.95,462.3,464.35,5877969
2019-03-18,466,469.9,458.65,464.9,3785329
2019-03-19,467.5,475.25,466.65,468.95,6725926
2019-03-20,470.75,476.8,466,474.75,4235163
2019-03-21,474.75,474.75,474.75,474.75,0
2019-03-22,475.8,479.7,469.35,473.25,6125288
2019-03-25,468.5,469.45,461.2,464.65,4043446
2019-03-26,467,471.5,462.1,469.8,3843580
2019-03-27,471.8,477.35,459.75,464.85,6016947
2019-03-28,465,479.8,465,475.45,10590187
2019-03-29,475.55,482.95,472.3,478.85,5625338
2019-04-01,480.95,484.25,475.6,478.85,3583589
2019-04-02,482,483.9,467.1,469.7,4034802
2019-04-03,471,473.9,459.15,462,4715586
2019-04-04,463,469.9,459.5,465.6,4151406
2019-04-05,467.1,470,461.5,463.15,2205935
2019-04-08,464.6,467.2,460.45,462.45,2274003
2019-04-09,457.25,472.4,454.8,470.95,4345243
2019-04-10,468,479.9,467.35,471.95,3887388
2019-04-11,465.25,470.9,461.6,465.55,4429596
2019-04-12,467,468.5,462.3,465.05,3332732
2019-04-15,465.3,466.8,457.5,458.65,3770497
2019-04-16,459.45,464.5,458.65,462.55,2825105
2019-04-17,462.55,462.55,462.55,462.55,0
2019-04-18,463.9,466,456.7,463.2,3567327
2019-04-19,463.2,463.2,463.2,463.2,0
2019-04-22,464,465.05,452.4,454.5,1828896
2019-04-23,453,472.4,453,468.55,5292341
2019-04-24,469.1,470,462.5,469.35,2821522
2019-04-25,465.25,474.6,459.5,461,5244937
2019-04-26,464,469.4,462.6,464.1,2903286
2019-04-29,464.1,464.1,464.1,464.1,0
2019-04-30,464,464,446,457.65,6586352
2019-05-01,457.65,457.65,457.65,457.65,0
2019-05-02,456.95,461.7,450.5,452.2,3732218
2019-05-03,455,456.2,448.85,453.25,2585548
2019-05-06,448,455.9,446.45,453.15,3104707
2019-05-07,456,456,446.45,448.2,4189396
2019-05-08,447.75,449.85,433.45,439.15,4885249
2019-05-09,436,442.7,431.55,439.35,3550114
2019-05-10,437,442.65,434.45,437.75,3482485
2019-05-13,437.75,437.75,344.55,398.1,24079258
2019-05-14,406.05,424.5,403.25,419.45,18797497
2019-05-15,420,424.5,407.1,409.75,7581005
2019-05-16,411.5,419.6,379.05,412.4,25156049
2019-05-17,409.05,416,401.7,409.1,7747301
2019-05-20,420,429,410.2,413.5,3809738
2019-05-21,414.2,423.75,405.65,408.85,6228488
2019-05-22,409,423.55,408,421.2,7277731
2019-05-23,425,427,410.2,412.95,5906044
2019-05-24,416.7,418,411.65,415.75,3010407
2019-05-27,416.95,421.5,411.55,414.85,3886561
2019-05-28,417,420.5,410.2,412.75,7987111
2019-05-29,418.05,427.8,403.55,423.8,28086149
2019-05-30,421.25,422.7,411.2,412.75,9082367
2019-05-31,414.8,417.1,406.05,409.85,5643400
2019-06-03,411,418.6,407.5,416.8,4611475
2019-06-04,414.8,417.9,409.1,411.15,3279047
2019-06-05,411.15,411.15,411.15,411.15,0
2019-06-06,411.25,413.5,402.6,404.15,3483633
2019-06-07,405,406.9,395.1,399.25,4668474
2019-06-10,402,405.8,394.05,402.05,4966075
2019-06-11,396,397.8,384,389.95,13833555
2019-06-12,391,397,385.25,391.4,7739283
2019-06-13,391,393.75,385.4,389.75,4090663
2019-06-14,390,394.85,376.55,392.55,9786375
2019-06-17,391.7,394.5,379.85,382.9,6558933
2019-06-18,381.4,385.6,374.3,378.45,3761637
2019-06-19,380,382.1,368.15,375.2,7197444
2019-06-20,368,392.2,368,390.5,8109029
2019-06-21,388.9,391.7,381.05,382.8,5389874
2019-06-24,381.8,385.4,377.5,383.45,3702836
2019-06-25,382.5,387.5,377.55,385.75,4480306
2019-06-26,385,403.55,384.65,399.45,9571797
2019-06-27,399.05,405.4,394.75,402.8,7651785
2019-06-28,404.9,409.8,398.15,400.95,7283442
2019-07-01,402,406.5,401.5,405.35,2254468
2019-07-02,404.85,407,391.15,395.55,5539613
2019-07-03,397.4,399.15,393.1,395.7,2683086
2019-07-04,396.7,398.05,391.2,392.1,3308295
2019-07-05,393.5,394.4,373.4,375.25,5446432
2019-07-08,375,380.9,365.4,366.8,7355520
2019-07-09,367,395,367,386.4,15428006
2019-07-10,386,397.35,380.6,392.2,10202064
2019-07-11,394.9,400.35,390.3,398.15,7759443
2019-07-12,400.5,411.5,397.35,407.7,13549864
2019-07-15,416.25,427.7,413.65,422.95,18269604
2019-07-16,420.8,435,418.65,433.3,8630766
2019-07-17,433,436.3,428.1,430.05,6500759
2019-07-18,430.05,432.9,424.65,426.2,4711395
2019-07-19,427,429.4,416.05,421.35,5104476
2019-07-22,419.1,443.3,419,430.25,10420113
2019-07-23,431,435.5,427.1,430.25,6698368
2019-07-24,430,432.45,421.7,425.55,5319256
2019-07-25,425.8,439.7,425.55,437.15,11412685
2019-07-26,437,442.2,433.1,439.95,5094438
2019-07-29,440,441.7,429.2,431.05,4448863
2019-07-30,430,441.3,405,410.35,9461831
2019-07-31,410,428.8,409,426.75,7746831
2019-08-01,424.8,427.75,418,425.1,3635110
2019-08-02,422.9,426.5,417.35,420.65,3490912
