date,open,high,low,close,volume
2019-01-01,1896,1910,1885,1902.8,1094883
2019-01-02,1905,1934.45,1900,1923.3,2100463
2019-01-03,1919,1944.95,1893.1,1899.95,2611668
2019-01-04,1900,1901.2,1841,1876.85,4280862
2019-01-07,1891.8,1908.8,1881,1897.9,1856423
2019-01-08,1905.4,1906.4,1883.3,1893.55,1691756
2019-01-09,1907.4,1919,1866.7,1886.95,2414376
2019-01-10,1890,1905,1872.1,1888.55,3053461
2019-01-11,1870,1875,1835,1842.55,9209862
2019-01-14,1850,1851,1810,1813.25,3615370
2019-01-15,1810,1869.35,1808,1867.8,7711653
2019-01-16,1870,1875,1847,1870.15,2359280
2019-01-17,1878,1898,1871.3,1894.3,2625816
2019-01-18,1881,1904.2,1876,1900.65,1683728
2019-01-21,1902,1932,1895.45,1908.7,2409803
2019-01-22,1907.1,1918.25,1890,1901.9,2457093
2019-01-23,1901,1906.1,1870,1875.6,2578169
2019-01-24,1884.8,1905.25,1875,1901.55,1962927
2019-01-25,1902,1935,1901,1920.8,2327080
2019-01-28,1933,1962,1925.5,1955,2769033
2019-01-29,1962,1989.05,1936.65,1982.75,2557626
2019-01-30,1979.6,1989.5,1954.65,1981.4,2429575
2019-01-31,1987,2019.75,1985,2014.1,4094319
2019-02-01,2009.5,2034.75,1998.1,2029.95,3064163
2019-02-04,2029.95,2055.45,2023,2050.25,1590764
2019-02-05,2050,2055,2028,2044.55,1111404
2019-02-06,2049.9,2086.85,2041.05,2074.8,1789812
2019-02-07,2074.75,2097.95,2067,2082.9,1339945
2019-02-08,2075,2089.5,2051,2061.4,1684474
2019-02-11,2060,2096,2048.9,2065.9,1778730
2019-02-12,2070,2070,2018,2051.6,2422903
2019-02-13,2062,2083,2050.5,2065.4,2808581
2019-02-14,2060.05,2075,2033.05,2044.6,1724085
2019-02-15,2049,2052,2010.95,2029.7,1930065
2019-02-18,2037.6,2041.95,1962.65,1970.3,2942184
2019-02-19,1970,1971,1892,1904.8,4408554
2019-02-20,1915,1933.8,1881.3,1914.75,4645778
2019-02-21,1914.75,1940,1897.05,1914.2,4683919
2019-02-22,1917.2,1930,1905.1,1925.65,2271955
2019-02-25,1932.5,1990,1930.5,1985.15,2934880
2019-02-26,1984,2045.15,1972.25,2038.7,6453309
2019-02-27,2040,2074.95,2022,2058.1,4732082
2019-02-28,2060,2071.35,1977.6,1983.45,8454295
2019-03-01,1995.05,2005,1980.35,1995.4,4148548
2019-03-04,1995.4,1995.4,1995.4,1995.4,0
2019-03-05,2005,2007,1976.6,1988.1,2449622
2019-03-06,1989.3,2015,1985.05,1999.6,2635047
2019-03-07,2005,2024.05,2000.2,2013.3,2539884
2019-03-08,2025,2033,2010.05,2022.7,2031071
2019-03-11,2028.9,2033,2003.65,2014.8,3111689
2019-03-12,2014.05,2024.8,2003,2012.45,2658550
2019-03-13,2013,2015.9,1978.6,2000.5,1833163
2019-03-14,2004.95,2007.8,1981,1987.4,1905495
2019-03-15,1998.9,2068.95,1991,2039.95,5184318
2019-03-18,2043,2064.6,2011,2022.8,2349915
2019-03-19,2030,2030,1995.1,2022.8,2373993
2019-03-20,2028,2044.8,2000,2015.05,3091165
2019-03-21,2015.05,2015.05,2015.05,2015.05,0
2019-03-22,2015,2016,1983.3,2005.65,3148149
2019-03-25,2007.8,2007.8,1977.2,1984.25,2429205
2019-03-26,1984,1994.95,1958.05,1982.65,2316539
2019-03-27,1994,1998,1961,1967.9,2266166
2019-03-28,1980,2014.6,1972.8,2000.3,4054489
2019-03-29,2019,2024.9,1983.55,2001.65,2948955
2019-04-01,2010,2039.95,2008.25,2031.65,2095740
2019-04-02,2037.1,2086,2037,2079.3,3719663
2019-04-03,2085,2089.6,2058.1,2079.3,2939886
2019-04-04,2078.15,2079.7,2007.4,2014.5,4397518
2019-04-05,2028.65,2054.4,2018.8,2048.3,3152103
2019-04-08,2059,2075,2032.7,2070.75,2194294
2019-04-09,2070,2098,2057.65,2091.5,2690970
2019-04-10,2083,2085.5,2036,2040.25,3313062
2019-04-11,2045,2055,2013.65,2019.5,3422442
2019-04-12,2038,2039,2007,2014.5,3198471
2019-04-15,2070,2119.8,2041,2113.3,9189201
2019-04-16,2120,2155.95,2115.55,2131.8,5771952
2019-04-17,2131.8,2131.8,2131.8,2131.8,0
2019-04-18,2149.9,2155,2114.2,2150.05,3413728
2019-04-19,2150.05,2150.05,2150.05,2150.05,0
2019-04-22,2148,2176,2145.6,2161.45,2007135
2019-04-23,2163,2165.5,2134.05,2155.05,2163524
2019-04-24,2158,2195,2156.1,2183.45,3003071
2019-04-25,2175,2205,2168.05,2195,4211526
2019-04-26,2203,2243.95,2193.15,2238.55,2716958
2019-04-29,2238.55,2238.55,2238.55,2238.55,0
2019-04-30,2238.55,2266.95,2230.1,2260.35,3488395
2019-05-01,2260.35,2260.35,2260.35,2260.35,0
2019-05-02,2255,2259.4,2211.1,2215.4,2457699
2019-05-03,2185,2186.05,2125,2132,3780886
2019-05-06,2110,2165,2108.5,2157.85,2891422
2019-05-07,2160.05,2184.35,2138.8,2151.95,2201698
2019-05-08,2151,2168,2130.4,2152.85,1824895
2019-05-09,2145,2184.1,2136.1,2172.55,2264162
2019-05-10,2175,2192,2125.85,2135.8,2039633
2019-05-13,2133,2167,2121.65,2128.75,1701744
2019-05-14,2135,2159.8,2072.35,2092.35,2456110
2019-05-15,2097,2124,2084.5,2095.4,2346876
2019-05-16,2096,2124,2077.05,2108.75,1946529
2019-05-17,2112.6,2135,2090,2095.45,1947908
2019-05-20,2125,2151.4,2050,2143.95,2625116
2019-05-21,2148.05,2148.7,2102.55,2109.75,1863157
2019-05-22,2110,2121.95,2075,2081.75,2595795
2019-05-23,2098,2115.35,2050,2054.05,2541294
2019-05-24,2070,2070,2032.25,2048,2274208
2019-05-27,2054.8,2068.95,2040.1,2055.15,2329820
2019-05-28,2060,2097.5,2045,2073.75,5872979
2019-05-29,2080,2123.7,2077.1,2107.55,3281320
2019-05-30,2123,2156.55,2114.4,2146.3,4971725
2019-05-31,2160,2204.95,2152.25,2196.55,4265370
2019-06-03,2201,2247.65,2185.65,2242.3,3682419
2019-06-04,2224,2224,2175,2183.1,2408658
2019-06-05,2183.1,2183.1,2183.1,2183.1,0
2019-06-06,2199,2199,2152,2166.1,3735467
2019-06-07,2174,2189.8,2142.1,2181.75,2659446
2019-06-10,2196.7,2235.85,2185.5,2231.5,2080593
2019-06-11,2237,2263.95,2231,2252.8,3048937
2019-06-12,2245,2266.9,2219,2260.9,2404448
2019-06-13,2264,2285,2243.05,2254.1,3320916
2019-06-14,2257.25,2263.1,2234,2254.5,2131408
2019-06-17,2256,2262,2241.45,2249.2,1489497
2019-06-18,2244,2260,2231.2,2250.85,1877447
2019-06-19,2255,2276,2243.15,2259.9,1652817
2019-06-20,2230,2284,2212,2277.95,2199377
2019-06-21,2285,2292.5,2242,2249.85,3871804
2019-06-24,2254.15,2280,2250.8,2275.5,1382424
2019-06-25,2270,2274.45,2250.5,2267.8,1386077
2019-06-26,2265,2266.8,2250,2254.2,1762224
2019-06-27,2255,2264,2241.3,2252.55,2813464
2019-06-28,2260,2261.95,2222.5,2227.2,2372928
2019-07-01,2235,2255,2206.6,2239.55,2769940
2019-07-02,2244.9,2257,2216.45,2252.1,1771746
2019-07-03,2252.2,2258.8,2232,2237.65,1656881
2019-07-04,2234,2252,2230.1,2242.65,984140
2019-07-05,2247,2250,2140,2163.1,4088470
2019-07-08,2149,2188.8,2132.1,2175.4,2788062
2019-07-09,2174,2174.4,2104.55,2133.35,3977224
2019-07-10,2080,2127.85,2071.3,2108.2,6343581
2019-07-11,2128,2129,2086.05,2102.55,2400346
2019-07-12,2102.1,2119.75,2093.1,2107.6,1560725
2019-07-15,2125,2153.6,2098,2145.7,2900415
2019-07-16,2126,2132.5,2100,2106,2735399
2019-07-17,2108,2125,2092.1,2117.25,1802969
2019-07-18,2116.2,2116.2,2060,2065.95,3072096
2019-07-19,2077,2097,2062.5,2076.95,1953177
2019-07-22,2077,2117.45,2068.8,2109.9,1920167
2019-07-23,2127.9,2130,2102.4,2112.45,3538588
2019-07-24,2110,2120.8,2076.5,2096.8,2413196
2019-07-25,2108.9,2135,2092.55,2127.9,2544464
2019-07-26,2129.8,2129.8,2095,2109.05,1720592
2019-07-29,2110.8,2142,2103.3,2130,1647090
2019-07-30,2130,2185,2120.45,2179.15,2851672
2019-07-31,2171.75,2211.7,2147.15,2205.7,3000677
2019-08-01,2200,2217.5,2166.25,2180.05,2375236
2019-08-02,2173,2210,2165.5,2205.3,2500816
2019-08-05,2199.9,2252.25,2195.6,2248.6,3039682
2019-08-06,2232.8,2251.95,2211.45,2214.9,2885467
